Age;Gender;Education Level;Job Title;Years of Experience;Salary;Class
25;Male;Bachelor's;Sales Representative;0;30000,00;Muy Bajo
25;Female;Bachelor's;Data Entry Clerk;0;35000,00;Muy Bajo
25;Male;Bachelor's;Help Desk Analyst;0;35000,00;Muy Bajo
26;Male;Bachelor's;Junior Accountant;1;35000,00;Muy Bajo
26;Male;Bachelor's;Junior Software Developer;1;35000,00;Muy Bajo
23;Female;Bachelor's;Junior Marketing Analyst;5;35000,00;Muy Bajo
27;Male;Bachelor's;Junior Sales Representative;1;35000,00;Muy Bajo
26;Male;Bachelor's;Junior Customer Support Specialist;2;35000,00;Muy Bajo
27;Male;Bachelor's;Junior Business Development Associate;15;35000,00;Muy Bajo
27;Male;Bachelor's;Customer Service Rep;2;40000,00;Muy Bajo
24;Male;Bachelor's;Junior Developer;1;40000,00;Muy Bajo
26;Female;Bachelor's;Customer Success Rep;1;40000,00;Muy Bajo
28;Female;Bachelor's;Copywriter;2;40000,00;Muy Bajo
28;Male;Bachelor's;Technical Support Specialist;2;40000,00;Muy Bajo
29;Female;Bachelor's;Junior Designer;2;40000,00;Muy Bajo
29;Female;Bachelor's;Sales Associate;3;40000,00;Muy Bajo
28;Male;Bachelor's;Customer Success Manager;2;40000,00;Muy Bajo
26;Male;Bachelor's;Junior Accountant;2;40000,00;Muy Bajo
28;Male;Bachelor's;Junior Business Analyst;2;40000,00;Muy Bajo
25;Female;Master's;Junior Marketing Specialist;15;40000,00;Muy Bajo
28;Male;Bachelor's;Junior Software Engineer;2;40000,00;Muy Bajo
29;Male;Bachelor's;Junior Marketing Coordinator;2;40000,00;Muy Bajo
26;Female;Bachelor's;Marketing Coordinator;1;45000,00;Muy Bajo
28;Female;Bachelor's;Social Media Specialist;3;45000,00;Muy Bajo
27;Male;Bachelor's;Technical Writer;2;45000,00;Muy Bajo
36;Female;Bachelor's;Administrative Assistant;8;45000,00;Muy Bajo
31;Female;Bachelor's;Customer Service Representative;5;45000,00;Muy Bajo
27;Male;Bachelor's;Junior Account Manager;2;45000,00;Muy Bajo
31;Female;Bachelor's;Event Coordinator;5;45000,00;Muy Bajo
29;Female;Bachelor's;Junior HR Generalist;3;45000,00;Muy Bajo
29;Male;Bachelor's;Junior Web Designer;3;45000,00;Muy Bajo
29;Female;Bachelor's;Junior Recruiter;3;45000,00;Muy Bajo
30;Female;Bachelor's;Junior Copywriter;3;45000,00;Muy Bajo
30;Male;Bachelor's;IT Support;2;50000,00;Muy Bajo
29;Female;Bachelor's;Graphic Designer;3;50000,00;Muy Bajo
29;Male;Bachelor's;Marketing Analyst;3;50000,00;Muy Bajo
33;Male;Bachelor's;Junior Web Developer;5;50000,00;Muy Bajo
30;Female;Bachelor's;Digital Content Producer;3;50000,00;Muy Bajo
33;Female;Bachelor's;Junior Operations Analyst;5;50000,00;Muy Bajo
32;Female;Bachelor's;Marketing Coordinator;4;50000,00;Muy Bajo
30;Female;Bachelor's;Junior Marketing Manager;4;50000,00;Muy Bajo
33;Male;Bachelor's;Junior Software Developer;5;50000,00;Muy Bajo
32;Female;Bachelor's;Junior Financial Analyst;5;50000,00;Muy Bajo
31;Female;Bachelor's;Junior HR Coordinator;4;50000,00;Muy Bajo
29;Male;Bachelor's;Marketing Analyst;2;55000,00;Bajo
31;Female;Bachelor's;Accountant;4;55000,00;Bajo
30;Female;Bachelor's;Social Media Manager;4;55000,00;Bajo
30;Female;Bachelor's;Content Marketing Manager;3;55000,00;Bajo
31;Female;Bachelor's;Marketing Coordinator;6;55000,00;Bajo
39;Female;Bachelor's;Administrative Assistant;10;55000,00;Bajo
36;Female;Bachelor's;Sales Associate;7;60000,00;Bajo
36;Female;Bachelor's;Recruiter;9;60000,00;Bajo
35;Female;Bachelor's;HR Generalist;7;60000,00;Bajo
30;Male;Bachelor's;Network Engineer;3;60000,00;Bajo
40;Female;Bachelor's;Event Coordinator;12;60000,00;Bajo
36;Male;Bachelor's;IT Support Specialist;7;60000,00;Bajo
36;Male;Bachelor's;Junior Data Analyst;7;60000,00;Bajo
31;Male;Bachelor's;Junior Project Manager;4;60000,00;Bajo
28;Female;Master's;Data Analyst;3;65000,00;Bajo
35;Male;Bachelor's;Financial Analyst;6;65000,00;Bajo
39;Female;Bachelor's;Marketing Specialist;10;65000,00;Bajo
27;Female;Master's;UX Researcher;2;65000,00;Bajo
33;Male;Bachelor's;Web Developer;6;65000,00;Bajo
39;Female;Bachelor's;Training Specialist;12;65000,00;Bajo
40;Female;Bachelor's;Office Manager;15;65000,00;Bajo
39;Female;Bachelor's;Recruiter;11;70000,00;Bajo
36;Male;Bachelor's;Technical Recruiter;8;70000,00;Bajo
29;Male;Master's;Software Developer;3;75000,00;Bajo
29;Male;Master's;Data Scientist;3;75000,00;Bajo
32;Male;Bachelor's;Account Manager;5;75000,00;Bajo
33;Male;Bachelor's;Business Analyst;7;75000,00;Bajo
31;Male;Bachelor's;Sales Manager;4;80000,00;Bajo
34;Female;Master's;Business Analyst;5;80000,00;Bajo
34;Female;Master's;UX Designer;5;80000,00;Bajo
40;Female;Bachelor's;HR Manager;12;80000,00;Bajo
41;Female;Master's;Data Analyst;13;80000,00;Bajo
40;Female;Bachelor's;HR Generalist;15;80000,00;Bajo
39;Female;Master's;Senior Project Coordinator;13;80000,00;Bajo
38;Male;Bachelor's;Customer Service Manager;11;80000,00;Bajo
38;Female;Bachelor's;Senior Accountant;10;80000,00;Bajo
35;Male;Bachelor's;Senior Marketing Coordinator;7;80000,00;Bajo
33;Male;Master's;Business Intelligence Analyst;7;85000,00;Bajo
32;Male;Bachelor's;Software Engineer;5;90000,00;Bajo
33;Female;Master's;Marketing Manager;7;90000,00;Bajo
33;Male;Master's;Product Designer;6;90000,00;Bajo
38;Female;Master's;Digital Marketing Manager;10;90000,00;Bajo
34;Male;Master's;Business Development Manager;8;90000,00;Bajo
38;Female;Master's;Public Relations Manager;10;90000,00;Bajo
32;Male;Master's;Senior Business Analyst;6;90000,00;Bajo
34;Male;Bachelor's;Senior Business Analyst;8;90000,00;Bajo
39;Female;Bachelor's;Senior Sales Representative;12;90000,00;Bajo
36;Male;Bachelor's;Sales Manager;9;95000,00;Bajo
37;Male;Bachelor's;Project Manager;10;95000,00;Bajo
34;Female;Master's;Financial Advisor;10;95000,00;Bajo
35;Male;Master's;Product Marketing Manager;8;95000,00;Bajo
37;Male;Bachelor's;Software Project Manager;9;95000,00;Bajo
31;Male;Master's;Senior Financial Analyst;6;95000,00;Bajo
37;Female;Master's;Senior HR Generalist;9;95000,00;Bajo
37;Female;Master's;Senior Marketing Analyst;9;95000,00;Bajo
32;Male;Master's;Senior Software Engineer;6;100000,00;Medio
41;Female;Master's;Senior Marketing Analyst;14;100000,00;Medio
42;Female;Bachelor's;Sales Manager;17;100000,00;Medio
40;Female;Master's;Senior Training Specialist;12;100000,00;Medio
35;Male;Master's;Product Manager;7;105000,00;Medio
43;Male;Bachelor's;Supply Chain Manager;18;105000,00;Medio
34;Male;Master's;Senior Software Developer;8;105000,00;Medio
34;Male;Master's;Senior Software Engineer;9;105000,00;Medio
38;Male;PhD;Senior Scientist;10;110000,00;Medio
37;Female;Master's;Software Manager;11;110000,00;Medio
45;Male;Bachelor's;Operations Analyst;20;110000,00;Medio
42;Female;Master's;Senior Graphic Designer;15;110000,00;Medio
45;Male;Bachelor's;Sales Operations Manager;18;110000,00;Medio
41;Female;Master's;Senior Marketing Manager;13;110000,00;Medio
44;Male;Bachelor's;Senior IT Support Specialist;14;110000,00;Medio
40;Female;Bachelor's;Senior Account Manager;14;110000,00;Medio
39;Male;PhD;Senior Engineer;12;115000,00;Medio
42;Male;Master's;Project Engineer;14;115000,00;Medio
33;Male;Master's;Senior Operations Manager;7;115000,00;Medio
42;Female;Master's;Product Manager;12;120000,00;Medio
38;Male;PhD;Senior Scientist;11;120000,00;Medio
46;Male;Bachelor's;IT Manager;19;120000,00;Medio
42;Female;Master's;Creative Director;14;120000,00;Medio
36;Male;PhD;Principal Scientist;11;120000,00;Medio
35;Male;Master's;Senior Product Manager;10;120000,00;Medio
43;Female;Master's;Senior Product Marketing Manager;14;120000,00;Medio
36;Male;Master's;Senior Business Development Manager;11;120000,00;Medio
41;Female;Master's;Senior Human Resources Manager;13;120000,00;Medio
44;Male;Bachelor's;Operations Manager;16;125000,00;Medio
40;Female;Master's;Project Manager;14;130000,00;Medio
41;Male;Master's;Strategy Consultant;13;130000,00;Medio
51;Female;Bachelor's;Customer Service Manager;22;130000,00;Medio
50;Female;Bachelor's;Supply Chain Analyst;22;130000,00;Medio
46;Male;Master's;Senior Project Manager;21;135000,00;Medio
47;Male;Bachelor's;Senior Sales Manager;20;135000,00;Medio
48;Female;Bachelor's;HR Manager;18;140000,00;Medio
41;Male;Master's;Financial Manager;13;140000,00;Medio
43;Female;PhD;Senior Consultant;15;140000,00;Medio
43;Male;PhD;Senior Engineer;17;140000,00;Medio
44;Female;PhD;Senior Scientist;16;140000,00;Medio
46;Male;Master's;Senior Project Manager;19;140000,00;Medio
43;Female;PhD;Senior Product Designer;18;140000,00;Medio
45;Male;PhD;Senior Manager;15;150000,00;Alto
49;Female;Master's;Senior Financial Analyst;18;150000,00;Alto
49;Female;Master's;Senior HR Manager;19;150000,00;Alto
42;Female;PhD;Senior Data Scientist;16;150000,00;Alto
46;Male;PhD;Senior Researcher;18;150000,00;Alto
49;Male;Bachelor's;Sales Executive;21;160000,00;Alto
50;Female;Bachelor's;Operations Manager;22;160000,00;Alto
47;Male;PhD;Research Scientist;22;160000,00;Alto
50;Female;Master's;Director of Operations;21;160000,00;Alto
47;Male;PhD;Senior Research Scientist;22;160000,00;Alto
46;Male;PhD;Senior Manager;20;170000,00;Alto
51;Female;Master's;Director of Operations;23;170000,00;Alto
52;Female;Master's;Senior Marketing Manager;25;170000,00;Alto
48;Male;PhD;Principal Engineer;20;170000,00;Alto
45;Male;Master's;Director of Sales;19;175000,00;Alto
48;Male;Master's;Director of Product Management;21;175000,00;Alto
51;Male;Bachelor's;Sales Director;22;180000,00;Alto
45;Female;Master's;Director of Marketing;16;180000,00;Alto
47;Male;PhD;Senior Data Scientist;21;180000,00;Alto
48;Female;Master's;Human Resources Director;20;180000,00;Alto
53;Male;Master's;Director of Marketing;25;180000,00;Alto
50;Female;Master's;Director of Finance;20;180000,00;Alto
51;Female;PhD;Director of Human Resources;23;185000,00;Alto
47;Male;Master's;VP of Operations;19;190000,00;Muy Alto
48;Male;Master's;Operations Director;18;190000,00;Muy Alto
45;Male;PhD;Research Director;16;190000,00;Muy Alto
52;Male;Master's;Director;20;200000,00;Muy Alto
47;Male;Master's;VP of Finance;19;200000,00;Muy Alto
44;Male;PhD;Chief Data Officer;16;220000,00;Muy Alto
50;Male;Bachelor's;CEO;25;250000,00;Muy Alto
52;Male;PhD;Chief Technology Officer;24;250000,00;Muy Alto
;;;;;;Muy Bajo
43;Male;Bachelor's;Senior Project Manager;16;140000,00;Medio
26;Female;Master's;Junior Data Scientist;15;45000,00;Muy Bajo
35;Male;Bachelor's;Senior Operations Analyst;7;85000,00;Bajo
42;Female;PhD;Senior Marketing Manager;18;140000,00;Medio
31;Male;Bachelor's;Junior Accountant;4;50000,00;Muy Bajo
38;Female;Bachelor's;Senior Human Resources Coordinator;10;80000,00;Bajo
46;Male;Master's;Director of Operations;20;170000,00;Alto
29;Female;Bachelor's;Junior Sales Representative;2;40000,00;Muy Bajo
37;Male;Master's;Senior Business Analyst;9;105000,00;Medio
44;Female;PhD;Senior UX Designer;15;145000,00;Alto
27;Male;Bachelor's;Junior Product Manager;2;40000,00;Muy Bajo
36;Female;Bachelor's;Senior Marketing Specialist;8;85000,00;Bajo
43;Male;Bachelor's;Senior IT Project Manager;14;130000,00;Medio
33;Female;Master's;Senior Financial Analyst;6;95000,00;Bajo
34;Male;Bachelor's;Senior Quality Assurance Analyst;9;100000,00;Medio
50;Female;PhD;Director of Sales and Marketing;22;180000,00;Alto
28;Male;Bachelor's;Junior Operations Analyst;15;35000,00;Muy Bajo
39;Female;Bachelor's;Senior Account Executive;12;95000,00;Bajo
47;Male;Master's;Director of Business Development;19;170000,00;Alto
30;Female;Bachelor's;Junior Social Media Manager;3;45000,00;Muy Bajo
34;Male;Bachelor's;Senior Product Manager;7;95000,00;Bajo
40;Female;Master's;Senior Human Resources Specialist;13;120000,00;Medio
28;Male;Bachelor's;Junior Business Analyst;2;40000,00;Muy Bajo
41;Female;Bachelor's;Senior Marketing Coordinator;11;90000,00;Bajo
45;Male;PhD;Senior Data Analyst;17;155000,00;Alto
32;Female;Bachelor's;Junior Account Manager;5;55000,00;Bajo
35;Male;Master's;Senior Software Developer;9;110000,00;Medio
49;Female;Master's;Director of Human Capital;21;180000,00;Alto
30;Male;Bachelor's;Junior Advertising Coordinator;3;45000,00;Muy Bajo
44;Male;Bachelor's;Senior Sales Manager;16;130000,00;Medio
27;Female;Master's;Junior UX Designer;15;45000,00;Muy Bajo
36;Male;Bachelor's;Senior Accountant;7;90000,00;Bajo
41;Female;PhD;Senior Marketing Director;17;160000,00;Alto
31;Male;Bachelor's;Junior HR Generalist;4;50000,00;Muy Bajo
39;Female;Bachelor's;Senior Operations Manager;10;120000,00;Medio
47;Male;Master's;Director of Finance;20;170000,00;Alto
30;Female;Bachelor's;Junior Marketing Coordinator;2;40000,00;Muy Bajo
38;Male;Master's;Senior IT Consultant;9;110000,00;Medio
45;Female;PhD;Senior Product Designer;15;150000,00;Alto
28;Male;Bachelor's;Junior Business Development Associate;2;40000,00;Muy Bajo
35;Female;Bachelor's;Senior Marketing Analyst;8;85000,00;Bajo
44;Male;Bachelor's;Senior Software Engineer;14;130000,00;Medio
34;Female;Master's;Senior Financial Advisor;6;100000,00;Medio
35;Male;Bachelor's;Senior Project Coordinator;9;95000,00;Bajo
50;Female;PhD;Director of Operations;22;180000,00;Alto
29;Male;Bachelor's;Junior Business Operations Analyst;15;35000,00;Muy Bajo
40;Female;Bachelor's;Senior Sales Representative;12;100000,00;Medio
48;Male;Master's;Director of Marketing;19;170000,00;Alto
31;Female;Bachelor's;Junior Social Media Specialist;3;45000,00;Muy Bajo
33;Male;Bachelor's;Senior Product Development Manager;7;100000,00;Medio
42;Female;Master's;Senior Human Resources Manager;13;140000,00;Medio
28;Male;Bachelor's;Junior Financial Analyst;2;40000,00;Muy Bajo
40;Female;Bachelor's;Senior Marketing Manager;11;105000,00;Medio
46;Male;PhD;Senior Data Scientist;18;160000,00;Alto
33;Female;Bachelor's;Junior Operations Manager;5;70000,00;Bajo
37;Male;Master's;Senior Software Architect;9;120000,00;Medio
51;Female;Master's;Director of Human Resources;21;190000,00;Muy Alto
30;Male;Bachelor's;Junior Marketing Specialist;3;45000,00;Muy Bajo
43;Male;Bachelor's;Senior Project Manager;15;120000,00;Medio
27;Female;Master's;Junior Research Scientist;15;50000,00;Muy Bajo
35;Male;Bachelor's;Senior Operations Analyst;8;85000,00;Bajo
42;Female;PhD;Senior Marketing Manager;13;140000,00;Medio
